PRODUCT_ID,PRODUCT_GENDER,PRODUCT_WIDTH,PRODUCT_ID_NARROW,PRODUCT_ID_STANDARD,PRODUCT_ID_WIDE,PRODUCT_ID_EXTRAWIDE
ANA_1011A767-001,Male,Standard,,ANA_1011A767-001,,ANA_1011A833-001
ANA_1011A767-001,Male,Standard,,ANA_1011A767-001,,ANA_1011A833-001
ANA_1011A767-021,Male,Standard,,ANA_1011A767-021,,ANA_1011A833-001
ANA_1011A767-021,Male,Standard,,ANA_1011A767-001,,ANA_1011A833-001
ANA_1011A767-300,Male,Standard,,ANA_1011A767-300,,ANA_1011A833-001
ANA_1011A767-300,Male,Standard,,ANA_1011A767-001,,ANA_1011A833-001
ANA_1011A767-600,Male,Standard,,ANA_1011A767-600,,ANA_1011A833-001
ANA_1011A767-600,Male,Standard,,ANA_1011A767-001,,ANA_1011A833-001
ANA_1011A824-001,Male,Standard,,ANA_1011A824-001,,ANA_1011B395-001
ANA_1011A824-001,Male,Standard,,ANA_1011A824-001,,ANA_1011A826-401
ANA_1011A824-003,Male,Standard,,ANA_1011A824-003,,ANA_1011A826-003
ANA_1011A824-009,Male,Standard,,ANA_1011A824-009,,ANA_1011A826-009
ANA_1011A824-021,Male,Standard,,ANA_1011A824-021,,ANA_1011A826-021
ANA_1011A824-021,Male,Standard,,ANA_1011A824-001,,ANA_1011A826-401
ANA_1011A824-028,Male,Standard,,ANA_1011A824-028,,ANA_1011A826-401
ANA_1011A824-028,Male,Standard,,ANA_1011A824-001,,ANA_1011A826-401
ANA_1011A824-303,Male,Standard,,ANA_1011A824-303,,ANA_1011A826-401
ANA_1011A824-303,Male,Standard,,ANA_1011A824-001,,ANA_1011A826-401
ANA_1011A824-402,Male,Standard,,ANA_1011A824-001,,ANA_1011A826-401
ANA_1011A824-404,Male,Standard,,ANA_1011A824-404,,ANA_1011A826-404
ANA_1011A824-404,Male,Standard,,ANA_1011A824-001,,ANA_1011A826-401
ANA_1011A824-406,Male,Standard,,ANA_1011A824-406,,ANA_1011A826-406
ANA_1011A824-407,Male,Standard,,ANA_1011A824-407,,ANA_1011A826-401
ANA_1011A824-407,Male,Standard,,ANA_1011A824-001,,ANA_1011A826-401
ANA_1011A826-003,Male,Extra Wide,,ANA_1011A824-003,,ANA_1011A826-003
ANA_1011A826-003,Male,Extra Wide,,ANA_1011A824-001,,ANA_1011A826-401
ANA_1011A826-007,Male,Extra Wide,,ANA_1011A824-007,,ANA_1011A826-007
ANA_1011A826-009,Male,Extra Wide,,ANA_1011A824-001,,ANA_1011A826-401
ANA_1011A826-020,Male,Extra Wide,,ANA_1011A824-001,,ANA_1011A826-020
ANA_1011A826-020,Male,Extra Wide,,ANA_1011A824-001,,ANA_1011A826-401
ANA_1011A826-021,Male,Extra Wide,,ANA_1011A824-021,,ANA_1011A826-021
ANA_1011A826-401,Male,Extra Wide,,ANA_1011A824-001,,ANA_1011A826-401
ANA_1011A826-401,Male,Extra Wide,,ANA_1011A824-001,,ANA_1011A826-401
ANA_1011A826-402,Male,Extra Wide,,ANA_1011A824-402,,ANA_1011A826-402
ANA_1011A833-001,Male,Extra Wide,,ANA_1011A767-001,,ANA_1011A833-001
ANA_1011A983-001,Male,Standard,,ANA_1011A983-001,ANA_1011A984-002,ANA_1011A987-020
ANA_1011A983-001,Male,Standard,,ANA_1011A983-401,ANA_1011A984-002,ANA_1011A987-020
ANA_1011A983-003,Male,Standard,,ANA_1011A983-003,ANA_1011A984-002,ANA_1011A987-020
